timestamp,site_id,site_name,Tv_hidden,rb_hidden,Wc_hidden
2020-01-01 01:00:00,0,Madagascar,297.2345275878906,0.002771992702037,0.1689532101154327
2020-01-11 01:00:00,0,Madagascar,296.75103759765625,0.0036254632286727,0.0878283753991127
2020-01-21 01:00:00,0,Madagascar,297.62890625,0.0152246039360761,0.3183289170265198
2020-01-31 01:00:00,0,Madagascar,296.9858703613281,0.0104076862335205,0.3002838790416717
2020-02-10 01:00:00,0,Madagascar,297.2569885253906,0.01575000397861,0.1973298043012619
2020-02-20 01:00:00,0,Madagascar,297.4193725585937,0.016951585188508,0.1974989920854568
2020-03-01 01:00:00,0,Madagascar,296.2357788085937,0.0048185680061578,0.227498173713684
2020-03-11 01:00:00,0,Madagascar,297.11474609375,0.004063353408128,0.0031757419928908
2020-03-21 01:00:00,0,Madagascar,295.4761657714844,0.0040445071645081,0.0
2020-03-31 01:00:00,0,Madagascar,293.49871826171875,0.004366461187601,0.0
2020-04-10 01:00:00,0,Madagascar,297.1220092773437,0.0028215341735631,0.0096607692539691
2020-04-20 01:00:00,0,Madagascar,296.8912353515625,0.0038150805048644,0.037549190223217
2020-04-30 01:00:00,0,Madagascar,297.6860046386719,0.0143915954977273,0.0
2020-05-10 01:00:00,0,Madagascar,294.34625244140625,0.0037080508191138,0.0512775480747222
2020-05-20 01:00:00,0,Madagascar,291.6810302734375,0.0033491959329694,0.0
2020-05-30 01:00:00,0,Madagascar,294.1853942871094,0.0253615509718656,0.0
2020-06-09 01:00:00,0,Madagascar,292.3371276855469,0.0035028434358537,0.0
2020-06-19 01:00:00,0,Madagascar,291.5089111328125,0.0076457629911601,0.0
2020-06-29 01:00:00,0,Madagascar,292.9894714355469,0.0158562622964382,0.0
2020-07-09 01:00:00,0,Madagascar,295.1466369628906,0.0238627083599567,0.0
2020-07-19 01:00:00,0,Madagascar,289.7088623046875,0.0208490062505006,0.0
