timestamp,site_id,site_name,lat,lon,Tair,Ur,SWdown,LWdown,Precip,Rn,LAI,Et,Eg,H,LE,SWC
2020-01-01 01:00:00,0,Madagascar,-17.75,44.25,0.2193408929472298,-0.42882757057105336,0.0,18.072668752362688,1.2516469273610788e-05,19.141109881862516,0.17375758386427353,-4.480793011226821e-09,-2.6639173601354066e-06,1.8112439292092477,-8.572805878616148,-0.05279751170066099
2020-01-11 01:00:00,0,Madagascar,-17.75,44.25,0.342093463060678,-0.2072601782218102,0.0,-0.971734323809244,-0.00011444181318378922,-1.1804910321389492,0.17375758386427353,-4.480793011226821e-09,-1.8686340618226104e-07,1.1221976655144845,-2.8711574644811684,-0.011503354195625592
2020-01-21 01:00:00,0,Madagascar,-17.75,44.25,0.1305067961545774,-0.3476911054984215,0.0,22.493658742597006,0.0016379671946303107,20.451990542873258,-0.0461880853099208,-4.480793011226821e-09,-2.0318976684422757e-06,2.8034943717141307,-1.1699832052953774,0.06275503289315004
2020-01-31 01:00:00,0,Madagascar,-17.75,44.25,-0.17798979452533104,-0.1739953028098229,0.0,1.578863820722006,-4.519183717134738e-05,-0.07316452457058986,-0.5052036931437827,-4.47383662827451e-09,4.215173813434142e-07,1.5401717799325145,0.7644392876855779,0.006527885313956927
2020-02-10 01:00:00,0,Madagascar,-17.75,44.25,0.43294979582645965,0.029328571076978394,0.0,-6.014341120134247,-6.805647427594557e-05,-8.759799940544262,0.25182774819825804,-5.22455021433251e-09,5.314651716297816e-07,-2.3331412223347447,-0.13115341830671845,-0.012431524824677909
2020-02-20 01:00:00,0,Madagascar,-17.75,44.25,0.3442929292179997,-0.0980321304839955,0.0,4.428499456037571,-6.805647427594557e-05,1.5179290938795695,-0.24940177641416872,-5.3790778827714406e-09,-2.436159902891519e-07,0.5627895447245805,-2.0992606418174624,-0.0023556576486220004
2020-03-01 01:00:00,0,Madagascar,-17.75,44.25,0.8178104860377857,0.3602339423471881,0.0,-5.2883645334551375,-2.619529080177694e-05,-7.128792978102162,0.7013877880188726,-8.527290366195606e-11,-2.2209466380680246e-07,-2.133544108560009,-5.101921925020795,0.014386867323229413
2020-03-11 01:00:00,0,Madagascar,-17.75,44.25,1.3560060920240176,-0.021535714787821902,0.0,7.3171957692792375,-2.619529080177694e-05,0.27908589763025304,0.14401140328376516,-8.527290366195606e-11,3.873079410163151e-07,0.9274974849916275,0.6186259894842099,-0.005504603347470716
2020-03-21 01:00:00,0,Madagascar,-17.75,44.25,-0.02944794318801769,-0.030412157697062403,0.0,-3.4395486154863875,-2.619529080177694e-05,-1.7031337984146617,-0.2766177404311396,-8.527290366195606e-11,3.4145576562643294e-07,0.39520535738237417,1.8908847480291318,-0.017121041974713702
2020-03-31 01:00:00,0,Madagascar,-17.75,44.25,-1.178664303165192,0.17457286484779844,0.0,-20.919223908455137,-2.619529080177694e-05,-8.679387307936146,-0.47333881739647166,-8.527290366195606e-11,-7.818511360915912e-07,-3.9359404060148413,-0.9527708382135449,-0.02775769945113893
